cda00a001219r,cda00a001319r,cda00a001s19r,cda00ar01219r,cda00ar01319r,cda00ar01s19r,CAMPUSID
48,26,80,50,31,82,057905148
53,31,78,54,35,76,057905149
68,45,86,66,41,86,057905152
58,36,84,59,39,85,057905153
46,25,77,42,23,73,057905154
40,20,72,43,22,75,057905155
51,23,80,43,17,75,057905156
55,21,79,58,20,82,057905157
46,22,77,39,18,73,057905158
45,23,77,42,22,76,057905159
49,24,81,49,25,83,057905160
47,20,79,40,13,75,057905161
71,49,91,67,46,90,057905162
22,9,44,24,11,46,057905163
33,14,67,29,12,63,057905164
47,23,76,44,24,75,057905166
47,19,79,52,20,84,057905167
52,28,78,52,28,75,057905168
55,26,85,54,26,86,057905169
43,18,73,44,19,71,057905170
84,58,97,86,60,98,057905171
60,33,85,59,36,82,057905172
44,23,75,47,26,74,057905173
43,23,75,47,29,77,057905174
37,17,74,45,20,79,057905175
57,30,88,63,32,94,057905176
44,21,73,47,22,77,057905177
36,16,72,32,15,68,057905178
43,20,76,43,20,77,057905180
39,18,73,35,17,69,057905181
47,22,76,48,20,77,057905182
46,22,79,46,23,78,057905183
45,19,82,47,16,84,057905184
47,22,79,46,20,83,057905185
25,10,61,28,13,68,057905186
51,25,81,51,24,83,057905187
33,11,67,38,13,71,057905188
36,15,69,36,15,66,057905189
45,22,78,42,17,75,057905190
23,8,60,22,10,60,057905191
39,19,73,40,18,78,057905192
54,25,82,55,27,84,057905193
36,18,65,32,17,65,057905194
58,34,85,57,32,89,057905195
46,22,80,49,22,82,057905197
54,31,83,51,31,83,057905198
51,24,79,53,25,79,057905199
27,11,60,27,13,60,057905200
49,27,79,48,30,79,057905201
36,18,72,29,16,68,057905202
55,20,87,60,26,88,057905203
49,24,78,50,28,81,057905204
35,18,65,34,18,65,057905205
53,28,81,53,30,80,057905206
36,16,63,33,14,61,057905207
34,16,68,30,12,69,057905208
54,29,83,55,28,83,057905209
51,27,79,49,23,80,057905210
37,14,69,35,13,68,057905211
70,39,95,72,42,97,057905212
44,21,73,48,23,75,057905213
35,14,72,34,12,73,057905215
48,27,80,45,23,77,057905216
97,82,100,98,88,100,057905217
26,11,57,26,11,56,057905218
35,18,73,40,22,76,057905219
27,14,59,30,18,62,057905220
43,18,75,42,17,72,057905222
56,28,89,58,35,90,057905224
27,12,59,27,11,59,057905225
49,26,82,51,29,83,057905226
55,31,84,49,28,81,057905229
60,38,87,60,36,87,057905230
43,19,75,41,19,75,057905232
47,25,79,50,26,79,057905233
58,29,85,60,30,85,057905234
31,12,69,32,11,66,057905235
27,12,51,27,14,49,057905236
45,21,74,41,20,71,057905237
52,27,86,52,27,83,057905239
36,20,66,39,23,66,057905240
36,14,67,40,19,70,057905244
41,19,75,43,19,77,057905247
29,14,63,32,14,69,057905250
41,19,71,36,16,64,057905260
55,32,81,57,37,83,057905263
42,18,75,39,17,78,057905264
39,19,70,37,17,65,057905265
17,5,53,14,4,49,057905266
42,23,73,46,30,75,057905270
53,27,78,47,25,75,057905271
50,23,81,59,27,85,057905272
47,24,75,46,25,75,057905273
47,21,78,50,25,82,057905274
51,26,82,46,23,77,057905275
54,30,79,46,26,73,057905276
44,24,78,45,23,77,057905277
41,17,77,47,20,82,057905278
45,22,77,50,26,80,057905279
54,29,82,52,28,80,057905280
43,20,76,40,17,74,057905281
50,30,77,48,34,73,057905283
44,21,77,46,24,79,057905284
40,19,72,34,15,71,057905286
53,31,83,59,36,83,057905287
47,24,80,41,21,78,057905289
23,9,56,23,8,55,057905301
45,20,75,43,19,73,057905303
45,21,79,42,22,81,057905304
44,21,74,43,20,74,057905305
73,45,95,74,50,97,057905306
52,24,83,45,22,79,057905352
40,16,75,36,14,73,057905353
20,4,55,22,6,55,057905354
55,21,90,60,28,91,057905359
49,21,84,46,23,78,057905360
37,13,76,33,13,70,057905362
86,59,99,76,45,98,057905363
32,6,63,27,2,51,057905380
75,37,98,75,38,97,057905381
46,15,73,36,2,61,057905382
57,12,80,59,8,75,057905383
90,60,98,87,61,98,057905384
8,0,33,8,0,21,057905389
45,11,72,38,4,59,057906001
8,3,49,7,0,29,057906003
23,7,57,26,9,60,057906041
31,8,68,38,12,74,057906042
30,11,65,36,16,71,057906043
29,11,63,30,12,67,057906102
24,7,64,24,10,68,057906103
36,16,67,36,16,67,057906106
31,15,69,35,20,70,057906107
39,17,74,37,19,75,057906108
31,13,67,35,18,71,057906109
29,11,62,33,16,66,057906112
43,11,72,38,3,60,057907001
13,0,48,15,0,42,057907004
,,,,,,057907005
32,11,69,35,17,71,057907041
43,17,76,43,20,78,057907042
39,15,74,47,22,81,057907043
45,25,72,47,30,74,057907101
36,18,70,35,22,75,057907102
25,10,56,29,12,57,057907103
32,14,65,32,13,69,057907104
35,15,63,35,16,62,057907105
33,11,68,32,14,67,057907106
36,20,69,34,20,67,057907107
30,11,68,30,11,68,057907108
39,18,73,33,13,68,057907109
34,14,70,35,15,70,057907110
34,14,62,38,15,65,057907111
29,14,57,29,14,58,057907112
51,21,72,44,11,61,057909002
39,9,69,30,1,55,057909003
64,28,83,58,14,74,057909004
60,21,83,59,11,77,057909005
11,0,64,0,0,17,057909006
,,,,,,057909007
49,15,75,45,5,65,057909008
56,19,79,48,5,68,057909009
69,31,85,60,12,76,057909010
74,48,93,75,54,92,057909041
29,9,63,28,11,62,057909042
36,12,71,31,12,65,057909043
60,33,85,61,36,86,057909045
30,9,68,30,10,67,057909046
61,32,86,62,33,86,057909047
33,12,67,36,16,69,057909048
40,18,74,41,17,73,057909049
42,17,77,43,20,77,057909050
39,15,72,36,15,70,057909051
59,30,87,57,31,85,057909052
43,17,77,44,20,78,057909054
62,38,89,65,43,91,057909101
44,23,76,47,24,80,057909102
34,15,69,33,15,66,057909103
38,13,74,38,13,78,057909105
37,18,72,40,20,72,057909107
49,21,76,50,21,77,057909108
32,11,70,31,9,71,057909109
43,23,74,42,25,74,057909110
84,64,96,83,66,96,057909111
43,15,79,49,16,85,057909112
32,13,65,34,18,68,057909113
64,37,86,67,42,89,057909115
39,18,70,39,18,69,057909116
36,15,68,36,12,74,057909117
46,23,76,46,23,77,057909119
34,15,62,35,16,69,057909120
30,12,63,30,11,67,057909121
80,59,93,79,60,94,057909122
49,24,76,56,30,78,057909123
32,12,65,35,12,70,057909124
78,55,93,81,61,94,057909125
46,22,77,43,22,76,057909126
53,30,85,57,31,88,057909127
43,20,77,45,21,81,057909128
66,37,92,70,39,93,057909129
35,13,69,39,16,74,057909132
42,21,77,42,24,77,057909133
49,21,84,51,24,89,057909134
,,,,,,057909135
37,16,72,43,21,75,057909136
47,24,80,50,27,84,057909137
57,34,82,56,35,82,057909138
60,30,86,62,37,88,057909139
53,28,82,55,31,85,057909140
43,18,75,45,19,75,057909141
46,22,74,51,23,77,057909142
51,27,81,46,24,83,057909143
62,34,88,63,37,90,057909144
55,31,86,53,30,85,057909145
45,20,79,46,21,79,057909146
43,24,76,49,29,80,057909147
51,27,83,51,31,85,057909148
41,17,74,43,18,76,057909154
62,39,87,59,39,87,057909155
49,26,79,47,26,79,057909156
36,19,67,35,18,68,057909157
43,20,72,43,23,76,057909158
40,17,74,42,18,80,057909159
82,44,99,84,38,99,057910001
36,10,65,27,2,50,057910002
54,20,77,44,5,66,057910003
17,4,52,10,0,29,057910009
75,31,91,64,10,83,057910010
85,46,99,85,39,100,057910011
31,10,66,33,11,65,057910041
36,13,72,37,15,72,057910045
36,13,72,38,16,71,057910047
52,23,81,55,28,83,057910050
29,10,61,28,10,57,057910051
35,14,69,31,13,64,057910052
37,15,73,39,16,71,057910053
59,33,86,52,28,86,057910101
36,20,69,38,21,73,057910102
30,16,60,27,16,61,057910104
43,19,75,49,22,83,057910106
40,21,71,39,17,75,057910109
50,25,82,50,26,85,057910113
40,20,75,42,21,77,057910118
52,28,82,50,28,81,057910119
31,13,69,31,13,72,057910120
57,31,86,58,34,85,057910121
38,20,73,39,22,77,057910122
66,41,91,69,46,92,057910123
39,17,70,39,15,74,057910124
41,18,74,41,21,73,057910125
40,21,74,41,22,78,057910126
36,17,67,34,15,69,057910128
51,29,82,58,36,86,057910129
48,22,77,50,23,81,057910130
63,38,91,63,37,93,057910131
45,20,73,43,18,71,057910132
91,69,100,91,73,100,057910135
47,26,78,48,25,79,057910136
42,18,76,36,16,72,057910137
92,55,98,93,41,98,057911001
79,50,96,84,60,97,057911041
71,47,95,72,51,97,057911101
81,52,97,83,63,97,057911102
82,57,96,82,57,97,057911103
83,56,98,84,61,98,057911104
82,55,96,79,51,97,057911105
43,11,71,36,3,58,057912002
53,16,78,42,4,64,057912003
48,11,75,40,3,63,057912004
30,7,63,17,1,44,057912005
56,16,81,50,5,70,057912006
35,14,67,31,11,63,057912041
37,12,69,32,12,64,057912042
45,20,75,43,20,73,057912043
40,16,71,38,16,68,057912044
38,15,71,32,11,67,057912045
43,18,74,39,18,70,057912046
47,22,77,38,16,69,057912048
35,13,70,33,12,68,057912050
36,18,69,31,17,71,057912101
34,13,70,27,12,66,057912102
31,13,67,28,11,66,057912103
36,16,67,30,15,62,057912105
42,20,77,41,17,73,057912106
45,21,74,44,21,74,057912107
35,16,67,33,13,66,057912108
41,20,73,36,17,68,057912109
43,20,76,46,19,77,057912111
33,15,66,31,15,65,057912112
50,25,80,46,23,79,057912113
43,21,74,38,17,72,057912114
50,26,79,44,22,77,057912116
48,27,80,42,24,78,057912118
43,21,75,42,18,75,057912119
40,22,76,39,22,77,057912120
40,17,71,39,16,73,057912121
40,20,73,33,17,69,057912122
35,16,67,34,19,69,057912123
45,24,78,42,27,80,057912124
52,12,80,44,4,68,057913001
45,18,77,42,19,75,057913041
36,17,71,30,14,61,057913042
41,19,75,38,20,75,057913101
46,22,77,43,21,72,057913102
47,23,85,48,23,85,057913103
39,15,77,41,17,75,057913106
39,17,77,39,19,81,057913107
48,23,78,47,23,78,057913109
51,13,75,43,2,63,057914001
53,13,77,44,0,64,057914002
48,11,74,41,2,60,057914003
60,18,81,50,3,69,057914004
56,15,79,46,2,65,057914005
36,15,69,34,13,66,057914041
37,13,69,32,12,65,057914042
53,23,80,41,19,72,057914043
36,12,71,35,15,68,057914044
34,11,67,30,10,63,057914045
43,19,75,42,20,71,057914046
46,21,78,44,21,75,057914047
35,14,68,34,15,65,057914048
36,14,68,36,14,65,057914049
39,17,75,37,16,78,057914101
46,22,77,44,21,78,057914102
43,22,75,38,20,73,057914103
43,22,73,41,20,74,057914104
36,17,64,33,15,61,057914105
37,18,70,37,21,71,057914106
54,31,83,51,29,84,057914107
41,18,72,38,18,72,057914108
35,16,68,30,15,66,057914109
45,22,75,44,19,76,057914110
43,24,77,39,18,78,057914111
34,15,69,26,11,68,057914112
38,17,71,38,15,72,057914113
41,20,72,44,23,75,057914114
46,24,81,48,27,82,057914115
30,13,63,31,15,63,057914116
52,27,87,50,27,87,057914117
42,20,77,37,16,76,057914118
38,20,71,39,19,75,057914119
37,18,68,33,17,63,057914120
41,18,75,37,17,74,057914121
66,35,88,64,37,88,057914122
40,17,74,44,19,80,057914123
36,15,70,37,14,70,057914124
52,28,80,52,31,83,057914125
42,20,77,44,21,76,057914126
37,17,68,39,19,71,057914127
43,21,79,43,22,80,057914128
46,19,79,47,23,84,057914129
52,25,82,49,23,81,057914130
41,19,75,41,18,75,057914131
41,18,74,45,20,80,057914132
51,21,86,51,20,88,057914133
14,0,86,-1,-1,-1,057914656
52,20,75,46,8,64,057916002
71,33,87,67,18,82,057916003
67,30,85,62,18,78,057916004
53,19,77,49,8,67,057916005
,,,,,,057916006
55,31,81,56,38,82,057916042
56,30,83,61,38,83,057916044
60,38,82,60,40,84,057916045
43,23,74,44,25,76,057916047
62,37,86,64,40,85,057916048
48,24,77,48,26,79,057916049
56,27,84,61,37,86,057916050
65,41,86,64,44,87,057916051
67,41,90,69,44,91,057916101
79,54,96,72,50,97,057916102
36,16,69,33,15,66,057916103
41,16,70,37,15,68,057916104
43,26,73,43,24,72,057916105
46,22,78,40,20,78,057916106
56,31,84,56,32,84,057916107
79,53,94,77,53,94,057916108
39,18,73,39,18,73,057916109
45,23,72,43,21,71,057916110
44,20,72,41,22,72,057916111
55,31,81,51,30,82,057916112
39,15,75,37,15,72,057916113
37,15,70,36,15,70,057916114
44,18,73,42,18,72,057916115
44,22,74,40,22,74,057916116
75,53,91,74,53,90,057916117
79,51,94,76,51,94,057916118
40,19,73,43,20,74,057916120
43,20,78,40,21,76,057916121
73,50,93,72,50,94,057916122
86,61,98,85,61,98,057916123
55,31,81,50,28,77,057916124
61,40,87,53,36,86,057916125
40,19,70,36,17,71,057916126
50,26,79,53,25,83,057916127
80,56,94,78,54,95,057916128
43,23,77,44,26,78,057916129
40,22,70,40,22,68,057916130
54,31,82,55,31,84,057916131
70,47,88,73,51,90,057916132
58,33,84,56,35,82,057916133
60,35,83,60,35,83,057916134
32,16,66,29,14,63,057916135
34,16,69,30,13,62,057916137
73,47,92,68,41,93,057916142
38,17,72,33,15,67,057916143
30,13,67,31,14,68,057916144
28,11,60,23,9,55,057916145
34,14,68,25,12,61,057916146
76,35,90,78,27,87,057919001
73,45,94,71,47,93,057919041
63,37,87,65,43,87,057919101
84,47,94,83,33,91,057922001
84,33,96,88,26,95,057922003
,,,,,,057922007
86,64,97,82,59,96,057922042
80,58,94,78,58,93,057922043
81,56,95,79,52,94,057922044
77,53,95,80,55,97,057922101
67,45,87,69,46,90,057922103
76,53,91,74,53,93,057922105
61,34,82,64,37,84,057922106
78,55,94,80,60,96,057922107
75,51,95,77,53,96,057922108
64,37,89,68,40,92,057922109
81,59,95,83,62,96,057922110
76,53,93,77,58,96,057922111
81,60,95,80,63,96,057922112
25,6,58,31,9,58,058902001
83,55,96,81,51,98,058905001
47,12,77,38,3,64,058906001
11,2,30,13,3,27,058906004
23,9,53,26,11,55,058906041
28,13,60,25,10,57,058906103
61,30,86,57,22,87,058909001
40,10,69,31,3,54,059901001
10,0,52,9,0,47,059901004
42,18,70,37,20,68,059901042
39,13,73,42,15,80,059901043
43,21,83,46,22,87,059901101
30,13,72,36,15,76,059901102
26,9,64,25,10,67,059901103
40,17,74,37,17,78,059901104
42,11,87,35,8,83,059902101
56,19,81,50,5,72,060902001
47,21,76,46,25,76,060902041
37,17,69,44,22,76,060902101
31,12,58,32,12,53,060914001
39,13,68,41,7,74,060914102
27,10,67,31,10,74,061802003
31,7,63,38,8,69,061802004
26,8,66,25,7,63,061802005
,,,,,,061804001
64,32,90,72,38,92,061804002
59,34,86,62,37,88,061805001
54,20,76,47,8,66,061901002
50,20,72,43,9,60,061901003
75,34,88,69,20,80,061901007
60,22,82,55,10,73,061901008
54,21,75,41,4,63,061901039
23,3,58,21,0,42,061901040
62,33,89,62,35,89,061901041
42,20,75,45,24,76,061901044
45,22,75,45,26,73,061901045
51,25,81,53,31,82,061901046
47,21,80,49,25,80,061901047
73,42,93,69,41,92,061901048
43,18,77,44,22,78,061901049
41,17,75,52,27,80,061901050
57,31,84,55,30,83,061901102
44,24,77,37,20,77,061901104
42,20,79,41,17,75,061901105
60,38,85,56,37,85,061901106
49,28,79,48,28,80,061901107
46,21,76,45,20,75,061901108
57,31,86,60,34,88,061901109
43,21,76,41,20,75,061901110
40,17,75,42,17,74,061901111
48,27,76,44,24,75,061901112
56,32,85,53,28,83,061901113
69,42,93,71,46,93,061901115
52,29,84,51,27,84,061901116
59,33,80,58,32,80,061901117
69,41,93,69,42,93,061901118
55,28,85,61,34,87,061901119
42,20,75,41,22,76,061901120
55,29,83,55,29,85,061901121
66,40,89,66,41,90,061901122
54,29,84,54,30,86,061901123
45,24,76,47,28,78,061901125
63,34,89,65,35,90,061901126
38,19,70,37,21,71,061901127
56,16,80,48,4,68,061902001
84,33,95,81,10,91,061902002
68,22,87,61,5,79,061902004
25,3,56,17,0,40,061902005
76,31,91,70,8,84,061902008
88,36,96,85,12,93,061902010
40,17,74,39,19,68,061902042
50,22,81,53,26,82,061902044
67,39,90,64,39,89,061902045
35,14,70,42,19,72,061902046
65,36,91,62,37,89,061902047
71,42,92,71,45,93,061902048
66,35,90,66,41,90,061902049
29,11,64,29,13,62,061902050
36,13,71,35,14,70,061902052
81,56,96,82,59,96,061902053
58,32,83,60,38,85,061902054
80,50,95,75,49,94,061902055
33,12,67,34,12,67,061902056
78,52,94,79,56,93,061902058
70,44,90,68,44,88,061902059
22,7,54,22,7,58,061902101
32,15,70,37,23,73,061902102
28,12,60,27,11,62,061902104
26,11,59,27,10,62,061902105
36,16,72,38,18,74,061902106
43,21,74,46,23,76,061902107
58,33,88,65,43,92,061902108
46,25,78,48,30,81,061902109
63,37,86,62,36,88,061902110
32,14,67,30,14,66,061902111
68,37,94,69,41,96,061902112
50,30,78,52,33,82,061902113
69,39,91,73,45,92,061902114
45,21,77,46,24,83,061902115
48,26,80,51,28,84,061902116
68,41,93,70,46,94,061902117
60,36,86,65,41,87,061902118
54,31,81,55,32,84,061902119
71,43,91,71,44,92,061902120
58,32,86,64,36,86,061902121
67,37,92,69,39,95,061902122
69,42,90,75,48,92,061902123
49,27,80,50,31,81,061902124
44,20,77,43,20,81,061902125
62,41,85,63,43,86,061902126
49,23,81,49,25,82,061902127
71,45,92,74,48,94,061902128
76,49,94,75,52,96,061902129
77,50,97,78,57,99,061902130
41,20,73,39,22,75,061902131
65,42,86,66,43,89,061902132
81,54,96,82,57,96,061902133
65,41,89,69,48,90,061902134
78,52,95,78,52,96,061902135
80,59,94,79,61,94,061902136
46,23,75,51,27,75,061902138
27,9,59,30,12,63,061902139
52,30,81,53,32,84,061902140
51,34,79,56,38,82,061902142
20,7,55,25,9,59,061902143
61,21,84,53,7,75,061903001
43,19,81,46,25,81,061903041
38,17,72,42,19,74,061903102
62,21,87,54,8,80,061905001
44,19,74,42,24,72,061905041
36,15,71,38,18,71,061905101
47,25,75,52,27,81,061905102
57,22,82,59,17,74,061906001
49,22,82,47,24,83,061906041
45,22,77,43,23,77,061906101
68,26,88,58,10,78,061907001
57,28,86,55,31,84,061907041
62,31,90,61,36,90,061907101
45,19,78,50,28,82,061907102
56,22,77,47,7,66,061908001
27,8,62,20,0,50,061908003
47,17,79,54,29,81,061908041
42,19,74,43,19,75,061908101
58,34,85,56,35,85,061908104
53,25,85,50,21,77,061908105
87,38,96,84,20,93,061910001
70,37,92,67,41,90,061910041
66,37,90,63,34,91,061910042
65,41,93,60,38,94,061910101
68,26,86,61,14,78,061911001
,,,,,,061911003
80,39,92,76,23,88,061911007
87,48,95,82,35,91,061911010
74,32,89,68,16,83,061911011
74,46,93,70,43,92,061911042
58,30,85,56,30,82,061911043
48,24,79,42,23,77,061911044
66,37,91,64,37,90,061911045
64,35,89,59,35,86,061911046
59,30,86,58,32,85,061911047
62,40,87,67,46,90,061911101
53,31,83,54,33,85,061911102
76,48,94,75,50,94,061911106
64,37,88,64,37,89,061911107
38,21,67,39,23,67,061911108
77,53,94,79,53,94,061911109
56,30,82,52,30,79,061911110
39,19,76,37,21,79,061911111
41,20,77,41,20,79,061911112
57,29,86,59,32,87,061911113
71,44,92,72,48,94,061911114
48,26,77,52,29,83,061911115
57,33,84,58,37,86,061911116
46,24,76,49,28,77,061911117
47,26,80,50,30,83,061911118
56,34,82,57,37,85,061911119
70,44,90,74,47,93,061911120
58,31,83,59,29,87,061911121
63,22,84,55,6,73,061912001
51,24,82,46,24,78,061912041
45,22,83,48,27,88,061912101
44,20,77,47,23,80,061912103
50,25,80,58,33,88,061912105
53,17,80,51,7,72,061914001
43,18,77,45,23,77,061914041
65,37,90,68,42,92,061914042
41,22,69,42,23,70,061914103
38,22,67,39,23,67,061914104
40,21,73,43,23,79,061914105
49,25,79,49,26,79,061914107
40,19,79,46,23,80,061914108
55,14,83,51,5,75,062901001
42,18,80,42,21,83,062901041
36,16,75,39,18,79,062901042
40,15,69,39,9,65,062902001
40,10,68,39,4,59,062903001
35,13,70,34,16,69,062903041
46,23,82,40,20,79,062903102
48,18,67,42,6,60,062904001
30,8,68,31,12,72,062904041
24,10,64,21,8,66,062904102
50,22,84,42,21,75,062905101
57,26,86,60,31,87,062906101
44,18,74,49,19,76,063903001
46,19,78,37,13,75,063906001
45,9,73,39,3,61,064903001
36,16,67,34,15,68,064903041
49,26,82,46,25,85,064903102
32,13,64,29,11,62,064903103
64,13,89,63,6,81,065901001
47,20,79,48,26,79,065901041
56,29,88,60,39,91,065901101
60,32,87,55,25,82,065902001
21,13,71,27,18,73,066005101
30,11,67,39,13,66,066901001
38,15,79,37,16,77,066901041
49,14,76,38,4,64,066902001
25,8,55,26,12,53,066902041
27,11,60,31,11,65,066902101
41,12,75,44,7,65,066903002
36,11,75,41,12,76,066903042
25,9,62,24,11,62,066903102
78,33,93,70,12,86,067902001
11,5,63,11,0,56,067902004
58,28,88,56,35,87,067902041
49,24,79,51,28,84,067902101
44,13,77,42,7,66,067903001
58,27,85,57,32,85,067903041
44,22,77,50,27,80,067903101
53,13,77,50,3,61,067904001
32,14,67,33,17,67,067904042
31,10,64,35,12,72,067904101
41,13,67,37,6,53,067907001
26,10,59,32,16,61,067907041
33,10,72,40,11,79,067907101
38,13,78,46,15,90,067908001
43,18,83,45,21,93,067908101
53,25,85,52,26,85,068802001
47,20,79,50,21,81,068803001
31,6,62,26,1,48,068901002
38,11,66,34,4,55,068901003
,,,,,,068901004
-1,-1,-1,-1,-1,-1,068901005
70,21,90,67,10,85,068901011
69,22,90,64,6,83,068901014
67,21,90,75,13,90,068901015
24,9,57,23,11,54,068901042
25,9,56,28,11,58,068901043
24,8,55,22,9,51,068901044
24,8,58,29,12,62,068901045
39,17,71,41,21,71,068901046
23,7,59,24,9,58,068901047
43,22,78,43,22,82,068901101
44,20,81,44,22,83,068901102
25,11,55,26,11,59,068901103
22,7,54,27,9,61,068901104
44,18,78,42,17,77,068901105
23,6,55,21,5,56,068901107
27,11,58,25,9,57,068901110
34,14,69,37,17,73,068901111
58,31,92,61,33,95,068901112
22,8,54,26,9,58,068901113
26,11,59,30,13,64,068901114
37,13,74,37,13,79,068901116
89,65,100,87,63,100,068901118
18,5,49,23,7,54,068901119
49,22,76,43,19,73,068901121
25,11,56,23,10,57,068901122
25,10,59,26,12,60,068901124
38,19,72,42,18,76,068901125
40,20,73,39,20,71,068901126
20,9,52,22,11,56,068901127
32,14,66,36,17,72,068901128
43,19,79,47,22,82,068901129
31,12,65,30,13,70,068901130
24,10,56,29,12,61,068901131
28,10,58,29,11,58,068901132
52,26,83,53,27,85,068901133
28,10,58,33,13,59,069901001
55,21,84,59,13,79,069902001
38,17,70,45,20,74,069902101
20,5,51,21,4,47,070801002
39,19,69,42,25,75,070801041
39,17,72,40,17,70,070901001
50,16,74,42,5,63,070903002
42,18,75,44,21,75,070903042
44,21,75,41,18,75,070903043
44,21,82,46,27,81,070903101
39,17,77,37,18,71,070903102
38,17,76,39,19,76,070903103
59,37,87,53,34,84,070903104
41,19,75,41,20,73,070903105
39,11,68,28,2,53,070905002
32,14,69,30,12,66,070905041
35,13,73,34,13,77,070905104
45,20,79,43,20,74,070905105
49,20,80,52,18,78,070907001
34,14,71,35,18,72,070907101
56,17,78,53,8,70,070908001
68,26,88,65,15,83,070908003
56,28,84,51,26,83,070908042
63,33,89,56,28,86,070908044
54,31,80,51,30,81,070908103
46,23,79,45,19,80,070908104
62,38,90,61,35,90,070908105
57,29,88,55,28,89,070908106
36,17,73,37,19,76,070908107
58,32,88,54,30,90,070908108
60,35,87,61,33,89,070908109
25,8,64,33,12,73,070909001
65,25,84,55,11,77,070910001
55,25,88,51,26,87,070910041
42,20,73,41,19,77,070910101
56,20,78,48,5,66,070911001
49,23,78,46,24,78,070911041
42,24,77,42,21,80,070911101
46,26,80,42,24,80,070911102
54,32,81,50,30,80,070911103
47,20,80,51,25,83,070911105
48,25,79,47,28,78,070911107
57,20,80,52,9,72,070912002
-1,-1,-1,-1,-1,-1,070912003
88,41,98,86,25,96,070912004
47,20,79,50,25,80,070912042
51,24,81,52,28,81,070912043
44,18,76,47,23,76,070912045
46,26,80,48,27,82,070912104
45,19,80,42,19,80,070912106
63,35,91,60,34,91,070912107
44,21,79,44,20,80,070912108
66,39,90,66,43,91,070912110
46,24,81,49,26,82,070912111
45,22,78,45,21,79,070912112
54,31,85,52,33,86,070912114
56,19,79,50,5,74,070915001
40,19,75,38,19,73,070915041
48,23,78,47,27,78,070915101
58,33,86,58,36,88,071801001
52,23,83,52,25,82,071801003
35,10,67,19,0,50,071803001
40,5,78,30,2,63,071803002
32,6,68,30,0,48,071804001
33,7,80,20,0,58,071804002
66,30,90,63,25,87,071806001
47,21,79,45,21,76,071806002
47,19,82,42,18,78,071806004
38,20,72,37,19,71,071806005
49,26,79,49,26,80,071806006
25,7,60,35,14,66,071807101
63,36,89,59,40,85,071809001
43,18,76,40,20,68,071810001
52,18,78,44,7,65,071901001
47,13,78,38,3,66,071901002
42,12,72,35,3,61,071901004
85,35,97,83,23,93,071901009
41,17,77,46,20,77,071901041
35,13,68,34,14,64,071901042
37,14,73,37,15,70,071901044
44,20,76,36,16,68,071901045
38,17,72,33,14,69,071901101
46,22,80,45,21,81,071901102
48,25,78,45,21,78,071901103
42,21,73,35,18,69,071901104
38,14,73,33,12,72,071901105
36,20,70,31,18,68,071901106
44,12,70,35,2,57,071902001
43,12,72,33,2,58,071902002
25,7,58,16,0,41,071902003
52,17,76,45,6,66,071902004
60,26,82,54,15,73,071902005
56,22,79,45,9,67,071902006
35,8,64,26,1,47,071902008
36,10,62,25,1,48,071902009
64,26,83,56,11,74,071902010
96,48,100,95,35,100,071902011
58,22,78,50,9,67,071902012
90,43,98,92,26,97,071902015
51,25,85,60,37,90,071902019
11,2,47,8,0,25,071902020
,,,,,,071902025
,,,,,,071902040
34,11,68,30,12,62,071902041
42,18,79,44,21,78,071902042
30,10,65,33,13,66,071902043
24,8,55,22,8,50,071902044
44,21,75,40,17,75,071902045
34,14,63,37,16,64,071902046
36,12,71,34,12,70,071902047
35,12,67,32,10,63,071902048
37,14,72,35,13,68,071902049
46,22,78,48,25,78,071902051
51,25,81,52,26,80,071902052
70,40,92,68,41,90,071902053
34,13,68,33,13,65,071902054
53,26,81,52,28,81,071902055
46,18,80,49,24,82,071902056
27,10,65,29,9,70,071902102
48,17,85,43,15,82,071902103
32,13,73,48,22,84,071902104
43,25,78,46,24,77,071902105
43,20,81,43,22,77,071902106
39,15,75,36,14,78,071902107
44,19,78,48,23,81,071902109
54,30,81,56,31,81,071902110
34,14,73,33,16,72,071902111
41,21,77,38,22,80,071902112
33,14,68,34,13,73,071902113
40,11,79,41,9,79,071902114
39,19,81,42,20,88,071902115
39,17,76,40,21,77,071902116
27,10,65,29,12,69,071902118
65,31,95,62,31,95,071902119
47,20,83,45,16,81,071902121
59,33,87,58,35,91,071902123
72,42,96,63,35,96,071902125
38,17,69,42,21,71,071902128
42,18,74,40,19,73,071902129
54,30,83,61,36,88,071902130
60,32,90,59,30,91,071902131
46,20,78,53,26,82,071902133
45,21,80,49,24,83,071902134
53,27,85,52,28,85,071902135
49,20,84,46,19,84,071902136
40,18,80,33,19,81,071902138
29,12,63,31,20,64,071902140
36,14,78,37,14,78,071902141
55,30,82,51,25,79,071902142
33,11,64,35,14,67,071902143
52,29,84,53,33,85,071902146
52,28,84,56,32,87,071902147
53,20,89,56,24,88,071902148
55,28,86,56,23,85,071902149
45,22,76,54,27,79,071902150
60,29,94,61,31,97,071902151
32,16,65,31,15,68,071902153
39,18,78,36,16,78,071902155
48,24,80,53,29,88,071902156
44,22,78,42,26,76,071902158
75,49,94,74,50,96,071902159
63,40,90,62,38,91,071902160
50,27,83,51,30,86,071902161
69,42,94,68,42,95,071902162
51,27,85,51,28,88,071902163
38,17,70,39,19,74,071902165
58,32,89,60,36,93,071902166
46,17,81,40,15,79,071902167
