cda00a001219r,cda00a001319r,cda00a001s19r,cda00ar01219r,cda00ar01319r,cda00ar01s19r,CAMPUSID
89,40,98,85,16,95,014906013
31,11,65,33,12,65,014906042
33,13,66,32,15,65,014906043
32,11,64,30,12,63,014906044
39,15,72,40,19,71,014906046
27,8,61,28,9,64,014906048
47,22,78,42,21,75,014906049
32,12,66,33,14,68,014906050
60,34,87,59,35,87,014906051
49,22,82,48,22,80,014906052
47,20,80,43,20,78,014906053
47,22,80,43,21,78,014906054
55,30,82,52,28,83,014906102
33,16,63,30,13,64,014906103
43,20,80,39,19,82,014906105
36,19,67,39,19,72,014906108
36,17,70,30,14,69,014906109
37,18,70,34,15,73,014906110
30,14,60,30,13,61,014906111
21,9,57,22,8,55,014906112
36,17,68,34,17,65,014906113
49,23,73,49,22,73,014906115
65,42,89,61,44,87,014906116
39,17,75,39,16,73,014906119
32,14,64,30,13,69,014906120
47,25,81,47,28,83,014906121
41,17,74,42,18,79,014906122
57,30,86,55,25,85,014906123
51,25,83,50,26,86,014906124
37,17,73,38,17,73,014906125
52,32,80,49,30,81,014906126
37,17,70,36,17,71,014906127
57,33,85,55,33,89,014906128
32,13,71,31,14,76,014906129
45,24,77,41,24,71,014906130
41,16,74,42,16,76,014906131
45,26,85,47,31,83,014906132
40,21,73,41,21,76,014906133
46,24,77,49,27,80,014906135
52,30,81,51,32,81,014906136
45,21,81,42,18,79,014906137
39,18,73,40,21,76,014906138
46,23,80,45,24,81,014906139
50,26,83,49,26,85,014906140
66,19,84,60,6,75,014907001
54,27,82,53,29,82,014907041
44,24,77,43,27,83,014907102
60,19,84,61,12,78,014908001
,,,,,,014908005
,,,,,,014908041
55,26,84,56,31,82,014908042
54,26,83,57,28,85,014908102
46,15,71,36,4,58,014909002
12,2,49,12,0,29,014909008
30,9,64,32,13,61,014909041
30,11,63,28,13,58,014909042
39,15,69,39,18,68,014909044
39,20,75,39,23,80,014909102
46,22,76,44,22,74,014909107
35,18,68,33,20,71,014909110
33,17,65,32,16,66,014909111
37,16,75,35,15,76,014909114
38,18,71,35,17,69,014909116
52,27,81,57,27,87,014909117
38,16,71,37,16,69,014909118
65,19,86,62,11,79,014910001
52,23,80,45,22,75,014910041
48,20,80,42,19,81,014910101
17,3,51,13,1,38,015801001
42,15,63,39,9,55,015801002
8,0,46,10,0,27,015801003
37,17,69,31,16,63,015802001
28,11,67,24,9,67,015802004
66,18,90,64,5,86,015805001
25,9,53,26,13,54,015805041
48,18,77,42,2,67,015806003
22,7,60,28,13,70,015806041
34,15,71,33,14,68,015806101
25,8,58,29,10,60,015806106
17,7,48,23,11,54,015807001
21,8,51,24,7,49,015807002
31,8,61,37,8,62,015807004
23,9,55,24,4,52,015807005
11,5,35,15,7,39,015807101
33,13,68,27,18,66,015807102
-1,-1,-1,-1,-1,-1,015808001
,,,,,,015808003
,,,,,,015808006
,,,,,,015808007
42,17,74,50,21,80,015808009
-1,-1,-1,,,,015808010
,,,,,,015808011
,,,,,,015808012
,,,,,,015808014
27,8,65,26,11,62,015809101
21,2,57,23,0,45,015814001
21,10,56,21,11,55,015815001
52,18,81,35,3,67,015815041
37,17,71,42,19,73,015815042
47,21,80,56,38,84,015815101
54,27,87,46,26,85,015815104
26,9,60,29,10,60,015822001
22,8,55,27,11,62,015822002
17,4,44,18,4,43,015822004
35,14,74,39,16,73,015822005
32,13,68,34,15,69,015822006
51,26,85,53,27,91,015822007
41,20,71,48,23,73,015822008
35,16,66,38,18,67,015822009
40,16,74,42,15,74,015822010
